,sentence,canonical_aspect,raw_aspects,aspect_categories,sentiments,tones,avg_confidence
413,"The HP Board of Directors' Nominating, Governance, and Social Responsibility Committee (NGSRC) oversees, periodically reviews, and, as appropriate, makes recommendations to the board on the strategic priorities and investments related to sustainability and social impact.",board oversight of sustainability,"Board Oversight, Board Oversight of Sustainability, board oversight of sustainability",E-S-G,neutral,action,0.89
301,Manajemen akan terus mengembangkan dan mempromosikan program ini dalam rangka mencegah dan mendeteksi potensi pelanggaran peraturan atau etika bisnis sehingga dapat menciptakan iklim kerja yang lebih transparan serta mencegah praktik penyimpangan dan kecurangan di Perusahaan.,business ethics and transparency,"business ethics, business ethics and transparency",G,positive,action,0.9
421,The management will continue to develop and promote this program to prevent and detect potential violations of regulations or business ethics to create a more transparent work climate and avoid the practice of irregularities and fraud in the Company.,business ethics and transparency,business ethics,G,positive,action,0.85
442,This change of name also marks the start of the new journey for the Company as a company that focuses on the property sector.,business focus,business focus,G,neutral,outcome,0.7
195,"Erajaya Group menjalankan kegiatan usaha distribusi dan perdagangan ritel perangkat telekomunikasi selular seperti telepon selular dan tablet, subscriber identity module card (SIM Card), voucher isi ulang operator jaringan selular, aksesoris, serta gadget seperti komputer dan perangkat elektronik lainnya.",business operations,business operations,G,neutral,outcome,0.85
460,To be the best services provider of telecommunication infrastructure and utilities.,business strategy,Business Strategy,G,neutral,commitment,0.9
366,Perusahaan menjadikan tantangan ekonomi global sepanjang tahun 2023 sebagai sebuah kesempatan untuk memperkuat sinergi usaha secara menyeluruh.,business synergy,business synergy,G,positive,outcome,0.9
286,Kolaborasi dengan mitra dalam penerapan praktik sirkular ini memperkuat daya tahan bisnis sekaligus mengurangi jejak karbon.,carbon footprint reduction,"Carbon Footprint Reduction, carbon footprint reduction",E-S,positive,outcome,0.91
327,Our environmental initiatives focus on reducing our carbon footprint and conserving natural resources.,carbon footprint reduction,Carbon footprint reduction,E,positive,commitment,0.85
433,"These initiatives track and offset the carbon footprint of eligible commercial HP products through certified global programs, ensuring that devices remain carbon neutral throughout their entire lifecycle.",carbon footprint tracking and offsetting,"Carbon footprint tracking and offsetting, Tracking and offsetting carbon footprint",E,positive,action,0.875
211,HP's Carbon Neutral Computing Services help organizations achieve their climate goals through HP's Carbon Neutral services.,carbon neutral computing services,Carbon Neutral Computing Services,E-S,positive,action,0.9
116,"As part of our ongoing efforts to measure and reduce the environmental impact of our products, we help organizations achieve their climate goals through HP's Carbon Neutral services.",carbon neutral services,Carbon Neutral services,E-S,positive,action,0.85
385,"Sejalan dengan kebijakan pemerintah mengenai ekonomi, kami mengupayakan pencapaian target karbon netral pada tahun 2050 dan dapat bebas emisi gas rumah kaca (GRK) pada tahun 2055.",carbon neutrality target,"Carbon Neutrality Target, carbon neutrality target",E-G,positive,commitment,0.9066666667
119,As we develop and expand our service-based models—which we refer to as circular business solutions—we will continue to study and quantify the potential they have to reduce environmental impacts and drive progress toward a more circular and net-zero carbon economy.,circular business solutions,Circular business solutions,E,neutral,commitment,0.875
140,CPIN berupaya mengintegrasikan prinsip ekonomi sirkular ke dalam semua aspek operasional untuk meminimalkan dampak lingkungan.,circular economy,"Circular Economy, circular economy",E,positive,action,0.8666666667
208,"HP has joined industry peers in advancing circular design through the Circular Electronics Partnership with the Circular Electronics Design Guide. As a member of the Ellen MacArthur Foundation's Network, we collaborate to make the circular economy a reality.",circular economy,"Circular Design Collaboration, Circular Economy, circular economy initiatives",E-S,positive,action,0.95
532,"We engaged in initiatives focused on increasing support for clean energy and combating climate change, including the Responsible Business Alliance, Clean Energy Buyers Association, RE100, EV100, Carbon Disclosure Project's Supply Chain membership, Business Ambition for 1.5°C, and Center for Climate and Energy Solutions' Business Environmental Leadership Council.",clean energy and climate change,"Clean Energy and Climate Change, Clean Energy and Climate Change Initiatives, climate change initiatives",E-S-G,positive,action,0.95
117,"As seen in previous years, various challenges such as shifts in consumer behavior, geopolitical tensions, and climate change issues have made the implementation of sustainable finance principles even more relevant.",climate change,climate change,E-G,neutral,outcome,0.75
151,"Dalam menghadapi tantangan perubahan iklim, kami telah memproyeksikan berbagai skenario, seperti peningkatan suhu ekstrem, dan mengadaptasi operasional lini bisnis Farm dengan menyesuaikan suhu kandang guna menjaga kesejahteraan ternak.",climate change adaptation,"Climate Change Adaptation, climate change adaptation",E-S,positive,action,0.8966666667
441,"This aspiration aims to enable BRI's transformation to be carried out by integrating climate risk in all aspects of both business and operations, as well as increasing financial inclusion.",climate risk integration,climate risk integration,E-S-G,positive,commitment,0.875
547,We have implemented a robust code of ethics and conduct.,code of ethics,Code of ethics,G,positive,outcome,0.87
556,"We will continue to build on this momentum, committed to a future that delivers opportunity, purpose, and resilience for everyone.",commitment to sustainability,commitment to sustainability,E-S-G,positive,commitment,0.9
310,"Mitratel berkomitmen untuk terus tumbuh dan berkembang bersama lingkungan, masyarakat, dan tata kelola perusahaan dengan menciptakan hubungan yang harmonis dengan lingkungan dan masyarakat sekitar.",commitment to sustainable growth,commitment to sustainable growth,E-S-G,positive,commitment,0.95
510,"We are determined to make the PIK 2 area the most complete residential area for all by providing the comfort and convenience of a vibrant, dynamic, and multicultural lifestyle.",community development,"Community Development, community development",S,positive,commitment,0.8766666667
201,"FKS Multi Agro juga terus berkomitmen untuk menjalankan berbagai flagship program terkait pengembangan masyarakat seperti Tempe Park, proyek Tanjung Jabung dan berbagai program lain yang mengedepankan kolaborasi dan kontribusi berkelanjutan kepada masyarakat khususnya masyarakat yang berada di sekitar wilayah operasional Perusahaan.",community development,"community development, community development programs",S,positive,commitment,0.875
181,"Dukungan teknis, pelatihan berkelanjutan, serta perluasan akses pasar diberikan untuk memberdayakan mitra, mendorong efisiensi produksi dan peningkatan kesejahteraan.",community development,community development,S,positive,action,0.9
183,"During the year, we continue with the construction of Tempe Park, our tofu and tempe center of excellence, as research development and training center, located in Bogor, West Java.",community development,community development,S,positive,action,0.85
242,"Inclusive and widespread connectivity enables critical sectors such as agriculture, education, healthcare, and tourism in rural and remote regions to thrive alongside urban centers.",community development,Community Development,S,positive,outcome,0.85
261,"Kami bertekad menjadikan kawasan PIK 2 sebagai kawasan hunian terlengkap untuk semua dengan menyajikan kenyamanan dan kemudahan gaya hidup yang bersemangat, dinamis dan multikultur.",community development,Community Development,S,positive,commitment,0.9
265,Kami juga telah membantu pembangunan sarana dan prasarana penyediaan air bersih untuk membantu masyarakat mengatasi kekeringan serta membantu korban bencana erupsi Gunung Semeru.,community development,Community Development,S,positive,outcome,0.95
172,"Di bawah payung MPMBerbagi, Perseroan terlibat aktif dalam berbagai kegiatan peduli bencana (alam dan non-alam) dan kegiatan kemanusiaan lainnya.",community engagement,"Community Involvement, Philanthropy, disaster relief and humanitarian aid",S,positive,action,0.8733333333
379,"Sebagai bagian integral dari strategi bisnis, CPIN memperkuat kolaborasi dengan petani, pemasok, dan komunitas lokal.",community engagement,"Community Engagement, Community Involvement, stakeholder engagement",S,positive,action,0.9
536,"We gain valuable insight into our Sustainable Impact strategy through regular engagement with a range of internal and external stakeholders, including employees, customers, suppliers, investors, peer companies, policymakers, industry bodies, nongovernmental organizations (NGOs), and sector experts.",community engagement,"Stakeholder Engagement, stakeholder engagement",S-G,positive,action,0.89
380,"Sebagai bagian yang hidup di tengah masyarakat, Perseroan menyadari pentingnya untuk bisa merasakan dan berkontribusi atas setiap permasalahan sosial yang timbul.",community engagement,"Community Engagement, community engagement",S,positive,commitment,0.905
558,"Within the scope of sustainable governance, BRI identifies material issues through the perspective of its stakeholders.",community engagement,stakeholder engagement,S-G,neutral,action,0.825
155,"Dalam pengembangan usahanya, Mitratel berkomitmen penuh untuk menjalin kolaborasi dan sinergi yang kokoh dengan para pemangku kepentingan dengan memposisikan diri sebagai Partner untuk membangun aspek sosial dan ekonomi, serta bersama-sama memitigasi dan mengatasi tantangan untuk pencapaian tujuan keberlanjutan, yakni kesejahteraan seluruh pemangku kepentingan serta kelestarian lingkungan.",community engagement,Stakeholder Engagement,E-S-G,positive,commitment,0.95
158,"Dalam pengembangan usahanya, Mitratel berkomitmen penuh untuk menjalin kolaborasi dan sinergi yang kokoh dengan para pemangku kepentingan dengan memposisikan diri sebagai Partner untuk membangun aspek sosial dan ekonomi, serta bersama-sama memitigasi dan mengatasi tantangan untuk pencapaian tujuan keberlanjutan.",community engagement,Stakeholder Engagement,S-G,positive,commitment,0.9
161,"Dari aspek sosial, tahun 2021 kami banyak terlibat dalam berbagai kegiatan sosial, khususnya dalam penanggulangan pandemi Covid-19.",community engagement,Community Involvement,S,positive,outcome,0.8
188,"Engagement with a range of stakeholders including employees, investors, suppliers, customers, peer companies, public policymakers, industry bodies, nongovernmental organizations (NGOs), and sector experts.",community engagement,stakeholder engagement,S-G,neutral,action,0.9
233,"In developing its business, Mitratel is fully committed to establishing strong collaboration and synergy with stakeholders by positioning itself as a Partner to develop social and economic aspects, as well as jointly mitigating and overcoming challenges to achieving sustainability goals.",community engagement,Stakeholder Engagement,E-S-G,positive,commitment,0.9
437,These towers are not merely signal transmitters—they stand as powerful symbols of our commitment to actually unity Indonesia.,community engagement,Community Engagement,S,positive,commitment,0.8
465,To contribute and participate in carrying out the growth of national development.,community engagement,Community Engagement,S,positive,commitment,0.85
490,We actively engage with our stakeholders to understand their concerns.,community engagement,Stakeholder engagement,S-G,positive,action,0.85
495,We are actively engaged in community outreach programs.,community engagement,Community Engagement,S,positive,action,0.88
362,Perseroan peduli akan pentingnya sanitasi yang layak dan memenuhi standar kebersihan di tengah masyarakat.,community health,"Community Health, community sanitation",S,positive,commitment,0.91
306,Melalui pemenuhan standar tersebut diharapkan meningkatkan kesehatan masyarakat.,community health,Community Health,S,positive,outcome,0.88
535,We focus on creating lasting impact in the communities we serve and helping prepare the next generation for what's ahead.,community impact,community impact,S,positive,commitment,0.9
406,"Supported by strategic investments in fiber optic networks, 5G technology, and digital literacy, these towers are not merely signal transmitters—they stand as powerful symbols of our commitment to actually unity Indonesia.",community investment,Community Investment,S,positive,action,0.9
266,Kami juga telah membantu pembangunan sarana dan prasarana penyediaan air bersih untuk membantu masyarakat mengatasi kekeringan serta membantu korban bencana erupsi Gunung Semeru.,community support,Community Support,S,positive,outcome,0.9
334,"Over its 129-year journey, BRI has consistently grown and developed, providing exceptional services to the nation while adhering to its commitment to sustainability values.",company growth and sustainability,Company growth and sustainability,E-S-G,positive,outcome,0.9
537,"We give thanks to God Almighty for His blessings, which have enabled PT Bank Rakyat Indonesia (Persero) Tbk — hereinafter referred to as the 'Company' or 'BRI' — to successfully navigate various risks and challenges throughout 2024.",company performance,Company performance,G,positive,outcome,0.9
199,"Established in 1996, Erajaya Group is one of the largest and most trusted companies in Indonesia",company reputation,Company Reputation,G,positive,outcome,0.9
461,To be the best services provider of telecommunication infrastructure and utilities.,company vision,company vision,G,neutral,commitment,0.93
292,Komitmen tersebut juga ditujukan untuk menciptakan nilai tambah bagi kami dalam persaingan usaha di industri sejenis yang semakin ketat.,competitive advantage through sustainability,competitive advantage through sustainability,G,positive,commitment,0.78
543,"We have conducted LCAs and PCFs for hundreds of products over the last several years, spanning our product portfolio.",conducting lcas and pcfs,Conducting LCAs and PCFs,E,positive,outcome,0.825
231,"In 2024, we: Conducted or updated 345 LCAs of DesignJet printers, scanners, enterprise printers, and cartridges.",conducting or updating lcas,Conducting or updating LCAs,E,positive,outcome,0.85
144,"Conducted or updated 658 PCFs of business HP desktops, notebooks, tablets, workstations, thin clients, all-in-one computers, and displays.",conducting or updating pcfs,Conducting or updating PCFs,E,positive,outcome,0.85
466,To contribute and participate in carrying out the growth of national development.,contribution to national development,contribution to national development,S,positive,commitment,0.9
482,"Untuk mengelola dan meningkatkan pencapaian sasaran hasil usaha dan mengoptimalkan nilai Perseroan bagi seluruh pemangku kepentingan secara berkelanjutan diperlukan sistem dan struktur tata kelola yang tunduk atas ketentuan hukum yang berlaku dan memegang teguh moral, etika dalam berbisnis.",corporate governance,"Corporate Governance, corporate governance",G,positive,commitment,0.8466666667
134,BRI's commitment to sustainable business practices is also evident in its implementation of good corporate governance.,corporate governance,"corporate governance, good corporate governance",G,positive,outcome,0.825
395,"Selain mentaati seluruh regulasi yang melekat, kami juga menjalankan praktik tata kelola perusahaan yang baik, juga beragam inisiatif di dalam kegiatan sosial dan pengembangan masyarakat serta perilaku yang bertanggung jawab kepada lingkungan hidup.",corporate governance,"Corporate Governance, Governance, Social and Environmental Practices",E-S-G,positive,action,0.92
218,"Hasil penilaian penerapan GCG berdasarkan parameter ACGS(3) dengan peringkat ""Leadership in Corporate Governance""",corporate governance,Corporate Governance,G,positive,outcome,0.9
264,Kami juga semakin memperkuat tata kelola Perusahaan dengan mengadopsi kemajuan teknologi serta mendigitalisasi proses-proses di Perusahaan agar lebih efisien.,corporate governance,Corporate Governance,G,positive,action,0.85
311,"Mitratel berkomitmen untuk terus tumbuh dan berkembang bersama lingkungan, masyarakat, dan tata kelola perusahaan dengan menciptakan hubungan yang harmonis dengan lingkungan dan masyarakat sekitar.",corporate governance,Corporate Governance,E-S-G,positive,commitment,0.9
509,We are dedicated to upholding the highest standards of corporate governance.,corporate governance,Corporate Governance,G,positive,commitment,0.93
523,We are strengthening our corporate governance practices.,corporate governance,corporate governance,G,positive,action,0.91
553,We strive to maintain the highest standards of corporate governance.,corporate governance,Corporate governance,G,positive,commitment,0.9
336,"Pada tahun ini, kami juga semakin memperkuat tata kelola Perusahaan dengan mengadopsi kemajuan teknologi serta mendigitalisasi proses-proses di Perusahaan agar lebih efisien.",corporate governance & digitalization,Corporate Governance & Digitalization,G,positive,action,0.9
229,"In 2023, we strengthened this commitment by changing the company name from PT Pratama Abadi Nusa Industri Tbk to PT Pantai Indah Kapuk Dua Tbk.",corporate rebranding,Corporate Rebranding,G,neutral,outcome,0.8
322,One of the major steps taken by the Company was to change its name to PT Pantai Indah Kapuk Dua Tbk.,corporate restructuring,corporate restructuring,G,neutral,outcome,0.75
376,"Sebagai bagian dari warga korporasi yang baik, kami berkomitmen untuk ambil bagian dan peduli terhadap isu-isu sosial dan lingkungan hidup.",corporate social responsibility,"Corporate Social Responsibility, corporate social responsibility",E-S,positive,commitment,0.96
124,"At HP, we have a powerful opportunity to do both while serving as a force for good in the world.",corporate social responsibility,"corporate responsibility, corporate social responsibility",E-S,positive,commitment,0.91
150,Dalam mencapai tujuan pertumbuhannya Perseroan telah berkomitmen dan terus memperbaiki dirinya untuk menjadi Corporate Citizenship yang baik.,corporate social responsibility,"Corporate Citizenship, Corporate Social Responsibility",S-G,positive,commitment,0.84
251,"Integritas, Semangat Kepeloporan, Tanggung Jawab, Saling Menghormati",corporate values,"Corporate Values, corporate values",G,neutral,commitment,0.775
453,"This vision is grounded in our values of integrity, trust, and an unwavering commitment to people and the planet.",corporate values,corporate values,E-S-G,positive,commitment,0.875
326,"Our commitment is grounded in our values of integrity, trust, and an unwavering commitment to people and the planet.",corporate values and sustainability commitments,"Commitment to People and Planet, corporate values and commitments",E-S-G,positive,commitment,0.9333333333
145,Cost of Goods Sold 2015 +40.57%,cost of goods sold,Cost of Goods Sold,G,neutral,outcome,0.9
273,Kami senantiasa berkomitmen untuk berinvestasi pada aspek hubungan pelanggan dan community engagement melalui BOLA Bonanza dan beberapa kegiatan customer gathering.,customer engagement,"customer and community engagement, customer engagement",S,positive,commitment,0.875
528,We continue to invest in our customer relations and community engagement through BOLA Bonanza and several customer gatherings.,customer relations,customer relations,S,positive,action,0.8
147,Customer Oriented Providing the best service for customer satisfaction.,customer satisfaction,customer satisfaction,S,positive,commitment,0.9
282,"Karena itu, Perseroan berupaya untuk memberikan layanan terbaik kepada seluruh pelanggan agar dapat menghadirkan layanan yang reliable dan always on.",customer service,Customer Service,S,positive,commitment,0.825
430,"Therefore, the Company strives to provide the best service to all customers in order to provide reliable and always on service.",customer service,Customer Service,S,positive,commitment,0.8
138,"Building on this impact, we are empowering our customers to create positive business value while reducing their environmental footprint.",customer sustainability,"customer sustainability, customer sustainability empowerment",E-S,positive,action,0.925
219,"However, the digital transformation also brings new challenges, including cybersecurity threats, misinformation, and social polarization.",cybersecurity,Cybersecurity,G-S,negative,outcome,0.9
269,"Kami menyempurnakan Japfa Sustainability Reporting System (JSRS) dengan menambahkan cakupan yang relevan, sehingga secara signifikan meningkatkan kelengkapan dan akurasi data.",data accuracy and completeness,data accuracy and completeness,G,positive,action,0.87
419,"The data presented reflects BRI's sustainability activities and performance for the fiscal year 2024, covering the period from January 1 to December 31, 2024.",data period,Data period,G,neutral,outcome,0.8
439,"This Sustainability Report includes economic, environmental and social performance data that is not audited by external parties, but the Company ensures that the data presented is consistent with internal reports.",data transparency,data transparency,G,neutral,outcome,0.7
276,Kami telah menetapkan strategi jangka menengah dan jangka panjang dalam upaya pencapaian target tersebut,decarbonization strategy,decarbonization strategy,E,positive,commitment,0.8
392,"Selain mengimplementasikan Harum Energy Climate Strategy and Decarbonisation Roadmap yang ditargetkan untuk mencapai net zero emisi di tahun 2055, Perseroan juga terus mengoptimalkan diversifikasi produk dan layanan ke bijih nikel, sebagai sumber energi yang lebih ramah lingkungan.",decarbonization strategy,Decarbonization Strategy,E-G,positive,action,0.9
432,"These improvements were driven by ongoing design advancements, such as more efficient central processing units (CPUs), panels, and power supplies, which continue to lower the typical energy use of our notebooks, workstations, and displays.",design advancements for energy efficiency,Design advancements for energy efficiency,E,positive,outcome,0.875
457,"Through our digital equity programs, we have reached 65 million people since 2021—opening doors to education and economic advancement around the world.",digital equity,"digital equity, digital equity programs",S,positive,outcome,0.9333333333
534,"We engaged with nonprofits embedded in disconnected communities through HP's Digital Equity Accelerator, providing them with monetary grants and resources to bridge the digital divide.",digital equity initiatives,digital equity initiatives,S,positive,action,0.95
446,"This includes our partnership with YMCA. Since 2022, we have partnered to establish more than 320 Digital Hubs across 14 countries, reaching more than 700,000 people.",digital partnerships for inclusion,"partnerships for digital equity, partnerships for digital inclusion",S,positive,outcome,0.925
189,"Erajaya Group also developed electronic-based selling (""e-commerce"") through www.erafone.com in early 2012.",digital transformation,"Digital Transformation, digitalization",G,neutral,outcome,0.775
294,Langkah sinergis ini diwujudkan melalui penerapan digitalisasi yang menyeluruh dan bertujuan untuk mengintegrasikan setiap kegiatan operasional Perusahaan mulai dari layanan jasa pelabuhan sampai jasa transportasi.,digital transformation,digitalization,G,positive,action,0.85
320,"Namun, transformasi digital juga membawa tantangan yang mulai dari ancaman keamanan siber, penyebaran disinformasi, hingga pereksi disrupai sosial.",digital transformation risks,digital transformation risks,G-S,negative,outcome,0.92
167,"Dengan membaca atau menggunakan Laporan ini, pembaca mengakui dan menyetujui ketentuan yang diuraikan dalam Sanggahan dan Batasan Tanggung Jawab ini.",disclaimer acceptance,disclaimer acceptance,G,neutral,outcome,0.85
420,"The disclosure approach follows the recommendations of the International Financial Reporting Standards (IFRS) S1 and S2 issued by the the International Sustainability Standard Board (ISSB), along with the Task Force on Climate-Related Financial Disclosures (TCFD).",disclosure approach,Disclosure approach,G,neutral,outcome,0.9
359,"Perseroan juga terus mengoptimalkan diversifikasi produk dan layanan ke bijih nikel, sebagai sumber energi yang lebih ramah lingkungan.",diversification to nickel,diversification to nickel,E-G,positive,action,0.85
393,"Selain mengimplementasikan Harum Energy Climate Strategy and Decarbonisation Roadmap yang ditargetkan untuk mencapai net zero emisi di tahun 2055, Perseroan juga terus mengoptimalkan diversifikasi produk dan layanan ke bijih nikel, sebagai sumber energi yang lebih ramah lingkungan.",diversification to nickel,Diversification to Nickel,,,,0.85
496,We are committed to diversity and inclusion in the workplace.,diversity and inclusion,diversity and inclusion,S,positive,commitment,0.97
499,We are committed to fostering a diverse and inclusive workplace.,diversity and inclusion,Diversity and inclusion,S,positive,commitment,0.9
179,Dividend Payout Ratio 27.45%,dividend policy,Dividend Policy,G,neutral,outcome,0.7
343,Penggunaan kemasan dengan material yang ramah lingkungan atau dapat didaur ulang,eco-friendly packaging,Eco-Friendly Packaging,E,positive,action,0.8
302,"Meanwhile, these efforts are a tangible manifestation of BRI's consistency in supporting the increase in economic and social value of the Indonesian people.",economic and social value,economic and social value,S,positive,outcome,0.875
315,Mitratel menyadari sektor telekomunikasi memiliki peran yang sangat besarnya dalam mendukung kegiatan ekonomi untuk meningkatkan kesejahteraan masyarakat.,economic contribution of telecommunications,economic contribution of telecommunications,S,positive,outcome,0.85
317,Mitratel realizes that the telecommunications sector has a significant role in supporting economic activities to improve people's welfare.,economic contribution of telecommunications,economic contribution of telecommunications,S,positive,outcome,0.85
467,To contribute and participate in carrying out the growth of national development.,economic development,Economic Development,S,positive,commitment,0.85
234,"In line with improving economic conditions after the Covid-19 pandemic, the Company is trying to increase its business growth.",economic growth,Economic Growth,G,positive,action,0.8
340,"Pendekatan ini tidak hanya menciptakan lapangan kerja dan mendongkrak ekonomi daerah, tetapi juga memperkuat ketahanan pangan nasional melalui rantai pasok yang andal.",economic impact,"Economic Impact, Economic Impact - Local, economic impact",S,positive,outcome,0.8733333333
316,Mitratel menyadari sektor telekomunikasi memiliki peran yang sangat besarnya dalam mendukung kegiatan ekonomi untuk meningkatkan kesejahteraan masyarakat.,economic impact,Economic Impact,,,,0.9
318,Mitratel realizes that the telecommunications sector has a significant role in supporting economic activities to improve people's welfare.,economic impact,Economic Impact,S,positive,outcome,0.9
279,Kami terus berupaya menjaga kinerja ekonomi yang berkelanjutan melalui berbagai strategi.,economic performance,"Economic Performance, economic performance",S,positive,outcome,0.8366666667
235,"In line with improving economic conditions after the Covid-19 pandemic, the Company is trying to increase its business growth.",economic performance,economic performance,G,positive,action,0.85
443,This contributes to national economic resilience and strengthens the country's competitiveness.,economic performance,Economic Performance,S,positive,outcome,0.8
357,"Perseroan bertekad untuk terus secara intensif meningkatkan sumbangsoh pada peningkatan pendidikan anak bangsa agar tumbuh cerdas, mandiri, dan berkarakter baik dengan upaya memperluas akses dan kesempatan pendidikan.",education and training,"Education, Education and Training, education support",S,positive,commitment,0.9333333333
345,Pengurangan emisi CO₂ untuk cakupan 1 & 2 vs tahun 2015,emission reduction,Emission Reduction,E,positive,outcome,0.8
277,Kami telah menetapkan strategi jangka menengah dan jangka panjang dalam upaya pencapaian target tersebut,emission reduction strategy,Emission Reduction Strategy,E,positive,commitment,0.8
280,"Kami tidak hanya fokus pada pengurangan Gas Rumah Kaca (GRK), tetapi juga mengendalikan emisi debu pada area intake bahan baku melalui sistem filtrasi untuk meminimalkan gangguan terhadap masyarakat.",emissions control,Emissions Control,E-S,positive,action,0.88
148,"Dalam aspek lingkungan, Japfa menyusun rencana aksi yang terstruktur untuk mengurangi emisi gas rumah kaca dan berkontribusi dalam mitigasi perubahan iklim.",emissions reduction,"Emissions Reduction, emissions reduction",E,positive,action,0.89
390,"Selain itu, melalui berbagai langkah yang kami lakukan, kami juga dapat menekan emisi cakupan 1 menjadi 31.262 ton CO2 dari 34.146 ton CO2 di tahun 2020.",emissions reduction,Emissions Reduction,E,positive,outcome,0.875
552,We reduced Scope 1 emissions by 15% in 2023.,emissions reduction,emissions reduction,E,positive,outcome,0.9
163,"Dari segi sumber daya manusia, Perusahaan menyusun strategi pengembangan karyawan dengan menyelenggarakan berbagai kegiatan dan pelatihan, baik untuk karyawan di kantor pusat maupun karyawan di lokasi gudang/cabang.",employee development,employee development,S,positive,action,0.8
374,Salah satu program unggulan dalam rangka pengembangan karyawan adalah Leadership Essentials Acceleration Program (LEAP) bagi karyawan terpilih dengan,employee development,employee development,S,positive,action,0.8
551,We prioritize the health and safety of our employees.,employee health and safety,"Employee Health and Safety, Employee health and safety, employee health and safety",S,positive,commitment,0.95
373,"Respect Others Respect, cooperativeness and good environment",employee relations,employee relations,S,positive,commitment,0.8
515,We are implementing programs to promote employee well-being.,employee well-being,Employee well-being,S,positive,action,0.87
417,The assessment of energy reduction performance and financed emissions follows the standards set by the Partnership for Carbon Accounting Financials (PCAF) and the Science Based Targets Initiative (SBTi).,energy and emissions assessment,Energy and emissions assessment,E-G,neutral,outcome,0.9
546,We have implemented a new energy efficiency program.,energy efficiency,energy efficiency,E,positive,action,0.9
545,We have implemented a new energy efficiency program that has already reduced our energy consumption by 15%.,energy efficiency program,Energy Efficiency Program,E,positive,outcome,0.92
470,"To help customers reduce energy consumption and GHG emissions, we focus on energy-efficient designs and offer convenient, service-based solutions.",energy-efficient design and solutions,"Energy-efficient designs and service-based solutions, Energy-efficient designs and solutions",E-S,positive,action,0.875
399,"Sepanjang tahun 2024, kami tidak menerima pengaduan lingkungan, mencerminkan efektivitas kebijakan lingkungan yang diterapkan.",environmental compliance,"Environmental Compliance, environmental compliance",E,positive,outcome,0.955
511,We are empowering our customers to create positive business value while reducing their environmental footprint.,environmental footprint,environmental footprint,E-S,positive,action,0.8
153,"Dalam menjalankan operasionalnya, aktivitas-aktivitas bisnis membawa dampak yang bervariasi terhadap kualitas lingkungan hidup, khususnya dalam hal ketersediaan sumber daya alam (air, energi, material), dan limbah yang dihasilkan.",environmental impact,"Environmental Impact, environmental impact of operations",E,neutral,outcome,0.7833333333
103,Accelerate the Future of Work by empowering customers to lower their environmental impact with HP Innovations,environmental impact,Environmental Impact,E-S,positive,action,0.85
258,Kami berkomitmen untuk meminimalisasi dampak lingkungan dari kegiatan usaha kami dan secara aktif berpartisipasi dalam upaya keberlanjutan global.,environmental impact,Environmental Impact,E,positive,commitment,0.96
332,Over 60% of our 2024 revenue came from products that reduce environmental impact reported in accordance with the Corporate Knights Sustainable Economy Taxonomy!,environmental impact,Environmental Impact,E-G,positive,outcome,0.95
503,We are committed to reducing our environmental impact.,environmental impact,environmental impact,E,positive,commitment,0.95
