,sentence_norm,canonical_aspect,majority_category,majority_sentiment,majority_tone,runs_count,,,,,,
87,3 (tiga) Ruas Jalan BERSERTIFIKAT GREEN TOLL ROAD,green certification,e,positive,outcome,1,,,,,,
88,3 (tiga) Ruas Jalan BERSERTIFIKAT GREEN TOLL ROAD,sertifikasi green toll road,e,positive,outcome,1,,,,,,
89,3 Green Building tersertifikasi GBCI dengan peningkatan 200% dari tahun sebelumnya.,green building certification,e,positive,outcome,1,,,,,,
90,3 Green Building tersertifikat GBCI dengan peningkatan 200% dari tahun sebelumnya.,sustainable infrastructure,e,positive,outcome,1,,,,,,
91,3-Star Rating for Vehicle Occupant in recent safety upgrades on Dalam Kota Toll Road (16 Januari 2023),road safety rating,s,positive,outcome,2,,,,,,
92,3-Star Rating for Vehicle Occupant in recent safety upgrades on Dalam Kota Toll Road (16 Januari 2023),road safety ratings,s,positive,outcome,1,,,,,,
93,3-Star Rating for Vehicle Occupant in recent safety upgrades on Dalam Kota Toll Road (16 Januari 2023),safety rating,s,positive,outcome,1,,,,,,
94,30% Intensitas emisi per pegawai dari baseline tahun 2019.,emissions intensity reduction,e,positive,outcome,1,,,,,,
95,30% Intensitas emisi per pegawai dari baseline tahun 2019.,employee carbon footprint,e,positive,outcome,1,,,,,,
96,3022,other,none,neutral,none,1,,,,,,
97,307,other,none,neutral,none,1,,,,,,
98,"31,78 Biaya Tanggung Jawab Sosial Lingkungan (TJSL) (Miliar rupiah)",corporate social responsibility investment,s,positive,outcome,1,,,,,,
102,323 JUTA BANTUAN LINGKUNGAN MASYARAKAT,bantuan lingkungan masyarakat,e-s,positive,outcome,1,,,,,,
103,323 JUTA BANTUAN LINGKUNGAN MASYARAKAT,community support,e-s,positive,outcome,1,,,,,,
105,33% Emisi Cakupan 1 dan 2 dari baseline tahun 2019.,carbon emissions reduction,e,positive,outcome,1,,,,,,
106,33% Emisi Cakupan 1 dan 2 dari baseline tahun 2019.,emissions reduction,e,positive,outcome,1,,,,,,
107,33% pengurangan Emisi Cakupan 1 dan 2 dari baseline tahun 2019.,emissions reduction,e,positive,outcome,1,,,,,,
109,34 manufacturing units [...] represent more than 75% of Indofood's total energy consumption.,energy management,e,neutral,outcome,1,,,,,,
112,3680,other,none,neutral,none,1,,,,,,
113,3774,other,none,neutral,none,1,,,,,,
116,3934,other,none,neutral,none,1,,,,,,
117,3976,other,none,neutral,none,1,,,,,,
119,"4 murals using special paint that absorb air pollution, equivalent to planting 700 trees.",air pollution absorption via murals,e,positive,outcome,1,,,,,,
120,"4,98 (PUAS) INDEX KEPUASAN PELANGGAN",customer satisfaction,s,positive,outcome,2,,,,,,
121,"4,98 (PUAS) INDEX KEPUASAN PELANGGAN",kepuasan pelanggan,s,positive,outcome,1,,,,,,
122,4-Star Rating for Vehicle Occupant in recent safety upgrades on Pondok Aren - Ulujami Toll Road,road safety,s,positive,outcome,1,,,,,,
123,4-Star Rating for Vehicle Occupant in recent safety upgrades on Pondok Aren - Ulujami Toll Road (15 Desember 2023),road safety rating,s,positive,outcome,2,,,,,,
124,4-Star Rating for Vehicle Occupant in recent safety upgrades on Pondok Aren - Ulujami Toll Road (15 Desember 2023),road safety ratings,s,positive,outcome,1,,,,,,
125,4-Star Rating for Vehicle Occupant in recent safety upgrades on Pondok Aren - Ulujami Toll Road (15 Desember 2023),safety rating,s,positive,outcome,1,,,,,,
126,4.98 (Satisfied) Customer Satisfaction Rate,customer satisfaction,s,positive,outcome,3,,,,,,
128,4036,other,none,neutral,none,1,,,,,,
129,4069,other,none,neutral,none,1,,,,,,
131,4136,other,none,neutral,none,1,,,,,,
132,4183,other,none,neutral,none,1,,,,,,
134,4527,other,none,neutral,none,1,,,,,,
136,"46% reduction in paper usage compared to 2019 baseline, saving 22,822 trees",resource conservation,e,positive,outcome,1,,,,,,
137,46% reduction in paper usage compared to 2019 baseline.,resource efficiency,e,positive,outcome,1,,,,,,
138,"46,20 TJ PENGGUNAAN ENERGI",energy consumption,e,neutral,outcome,1,,,,,,
139,"46,20 TJ PENGGUNAAN ENERGI",energy usage,e,neutral,outcome,1,,,,,,
140,46.20 TJ Energy Usage,energy consumption,e,neutral,outcome,2,,,,,,
141,4603,other,none,neutral,none,1,,,,,,
144,"47,6% pegawai perempuan dengan representasi 36% di posisi >AVP Level.",gender diversity,s,positive,outcome,1,,,,,,
145,4849,other,none,neutral,none,1,,,,,,
147,50% of our employees participated in GoTo activities that aligned with nine of the UN SDGs.,sdg engagement,s-e,positive,outcome,1,,,,,,
148,"50% of our employees participated in GoTo activities that aligned with nine of the UN SDGs: Climate Action; Gender Equality; No Poverty; Zero Hunger; Quality Education; Reduced Inequalities; Sustainable Cities and Communities; Good Health and Well-Being; and Peace, Justice and Strong Institutions.",un sustainable development goals alignment,e-s,positive,outcome,1,,,,,,
152,52% female representation in leadership positions (ASE) and 4 female Commissioners/Directors,gender equality,s,positive,outcome,1,,,,,,
153,52% total pegawai adalah perempuan dengan 35% menjabat AVP atau lebih tinggi.,gender equality,s,positive,outcome,1,,,,,,
156,55,other,none,neutral,none,1,,,,,,
161,"59 2017 on the Implementation of Sustainable Development Goals), BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.","develops strategies, initiatives and kpis that are in line with sdgs which will then be reported periodically",e-s-g,commitment,commitment,1,,,,,,
162,"59,076 TonCO₂eq emission reduction from 2019 baseline.",emissions reduction,e,positive,outcome,1,,,,,,
163,"6,5 juta orang menerima manfaat program TJSL dan inklusi keuangan.",community development,s,positive,outcome,1,,,,,,
164,"6,5 juta orang menerima manfaat program TJSL dan inklusi keuangan.",social impact programs,s,positive,outcome,1,,,,,,
165,608,other,none,neutral,none,1,,,,,,
166,64% of leadership positions within our operations are held by women.,diversity and inclusion,s,positive,outcome,1,,,,,,
167,64% of leadership positions within our operations are held by women.,gender diversity in leadership,s,positive,outcome,2,,,,,,
168,64% of leadership positions within our operations are held by women.,gender equality,s,positive,outcome,1,,,,,,
170,677,other,none,neutral,none,1,,,,,,
171,692,other,none,neutral,none,1,,,,,,
172,742,other,none,neutral,none,1,,,,,,
173,"757,5 Total jam pelatihan karyawan (Jam)",employee training and development,s,positive,outcome,1,,,,,,
174,79% of shopping bags were non single-use plastic alternatives,sustainable packaging,e,positive,outcome,1,,,,,,
175,79.3% of shopping bags were non single-use plastic alternatives,waste reduction,e,positive,outcome,1,,,,,,
176,8.749 MILIAR DANA BANTUAN PENDIDIKAN,dana bantuan pendidikan,s,positive,outcome,1,,,,,,
177,8.749 MILIAR DANA BANTUAN PENDIDIKAN,education assistance,s,positive,outcome,1,,,,,,
180,832,other,none,neutral,none,1,,,,,,
183,94,other,none,neutral,none,1,,,,,,
184,94 percent of the electricity used in our own operations comes from renewable sources.,renewable energy usage,e,positive,outcome,1,,,,,,
185,94% renewable electricity in own operations (goal: 100% by 2030).,renewable energy,e,positive,outcome,1,,,,,,
188,98.56% of employees vaccinated against COVID-19.,employee health & safety,s,positive,outcome,1,,,,,,
189,98.56% of employees were vaccinated against COVID‑19.,employee vaccination rate,s,positive,outcome,1,,,,,,
190,98.9% of shopping bags used in 2021 were non-plastic alternatives.,plastic reduction,e,positive,outcome,1,,,,,,
191,98.9% of shopping bags used in 2021 were non‑plastic alternatives.,non‑plastic shopping bag usage,e,positive,outcome,1,,,,,,
194,"A Collaboration on Electronic Manufacturing Services (""EMS"") For Venera Mobile Phones",local manufacturing,none,positive,action,1,,,,,,
195,"A Collaboration on Electronic Manufacturing Services (""EMS"") For Venera Mobile Phones",manufacturing collaboration,none,positive,action,1,,,,,,
196,"A Collaboration on Electronic Manufacturing Services (""EMS"") For Venera Mobile Phones Erajaya Swasembada Tbk PT. through its subsidiary, namely PT Teletama Artha Mandiri (TAM), has officially started the local production of Venera mobile phone (HP) at PT Sat Nusapersada Tbk. in Batam.",local manufacturing initiative,none,positive,outcome,1,,,,,,
197,A Collaboration on Electronic Manufacturing Services (EMS) For Venera Mobile Phones,manufacturing collaboration,none,positive,action,2,,,,,,
198,A New Chapter in the Mining Industry in Indonesia to Welcome a Sustainable Future,sustainable development,e-s-g,positive,commitment,1,,,,,,
199,"A total of 96,609 kWh was distributed from the charging station, an increase of 551.88% or equivalent to 81,789 kWh from the previous year of 14,820 kWh.",electric vehicle charging distribution,e,positive,outcome,1,,,,,,
200,"A total of 96,609 kWh was distributed from the charging station, an increase of 551.88% or setara 81,789 kWh from the previous year sebanyak 14,820 kWh.",electric vehicle charging distribution,e,positive,outcome,1,,,,,,
201,A water tower can deliver 850 liters of clean water per hour.,water access,s,neutral,action,1,,,,,,
202,A water tower can deliver 850 liters of clean water per hour.,water conservation,e,neutral,action,1,,,,,,
203,AIR DAUR ULANG,recycled water,e,neutral,action,1,,,,,,
204,"AMI always strives to harmonize environmental, social, and governance (ESG) aspects in carrying out business activities.",esg integration,e-s-g,commitment,commitment,3,,,,,,
205,Acara ini diselenggarakan sebagai bentuk sinergi dan komitmen Perseroan bersama para partner untuk saling mendukung dalam hal pembiayaan dan juga memberikan kemudahan serta kenyamanan bertransaksi untuk segala kebutuhan para customer Perseroan Group.,stakeholder partnerships and customer support,s,positive,action,1,,,,,,
207,Accomplishments in sustainability implementation garnered BNI several achievements in 2023.,esg performance,e-s-g,positive,outcome,1,,,,,,
208,"According to Nielsen data, only within 6 (six) months since the implementation of the first phase of the ASO policy, our Digital Terrestrial Television (DTT) penetration reached more than 90%.",dtt penetration achievement,none,positive,outcome,1,,,,,,
209,"Accordingly, the Management contends that current business development is not only limited to increasing sales but also how to optimize every existing network and database as our capital to create a product and service with more added-value.",business development,none,positive,commitment,1,,,,,,
210,"Accordingly, the Management contends that current business development is not only limited to increasing sales but also how to optimize every existing network and database as our capital to create a product and service with more added-value.",business development strategy,none,positive,commitment,1,,,,,,
211,Achieve full and productive employment and decent work for all women and men [Linked to GRI 401/405 disclosures],gender equality,s,positive,commitment,1,,,,,,
212,Achieve gender equality and empower all women and girls,gender equality,s,positive,commitment,1,,,,,,
213,"Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value added and labour-intensive sectors.",economic productivity,none,positive,commitment,3,,,,,,
214,"Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all.",healthcare access,s,positive,commitment,3,,,,,,
215,Achieved over 66% renewable energy usage across our operations.,renewable energy usage,e,positive,outcome,1,,,,,,
216,Achieving good economic performance enabled MAPI to provide positive contribution to the achievement of the SDGs.,sustainable development goals,e-s-g,positive,outcome,1,,,,,,
217,Achieving over 66% renewable energy usage across our operations.,renewable energy adoption,e,positive,outcome,1,,,,,,
218,"Acquired PT Hidon, chicken breeding and hatchery company, through PT Multibreeder Adirama Indonesia Tbk.",business expansion,none,positive,outcome,1,,,,,,
219,Acquisition of PT Axioo International Indonesia (AXIOO),business acquisition,none,neutral,outcome,1,,,,,,
220,Acquisition of PT Axioo International Indonesia (AXIOO) To comply with the Regulation of the Minister of Trade No. 38/M-DAG/PER/8/2013 concerning the Amendment to the Article 8A of,regulatory compliance,g,neutral,outcome,1,,,,,,
221,Acquisition of PT Axioo International Indonesia (AXIOO).,acquisition,none,neutral,outcome,2,,,,,,
222,Adanya Satuan Kerja Manajemen Risiko (SKMR) yang secara khusus memitigasi risiko dan mengidentifikasi peluang terkait perubahan iklim.,climate risk management,e,neutral,action,3,,,,,,
223,Adaptasi terhadap terjadinya pandemi COVID-19 telah berdampak pada cepatnya penggunaan digital yang terus meningkat.,digital transformation,none,positive,outcome,1,,,,,,
224,"Adapun untuk merespons perubahan iklim, kami memiliki dua pendekatan utama, yaitu reduksi emisi gas rumah kaca dari kegiatan operasional dan penyaluran kredit yang ditujukan untuk pengurangan dan penyesuaian perubahan iklim.",reducing greenhouse gas emissions from operations,e,positive,action,1,,,,,,
225,"Additionally, BNI creates a sustainability culture that is thoroughly applied to all work units for maximum implementation of green banking practices.",sustainability culture,e-s-g,positive,action,1,,,,,,
226,"Additionally, our report aligns with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the most recent GRI Universal Standards from 2021.",gri standards compliance,g,neutral,outcome,1,,,,,,
227,"Additionally, our report aligns with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the most recent GRI Universal Standards from 2021.",reporting standards,g,neutral,outcome,1,,,,,,
228,"Additionally, our report aligns with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the most recent GRI Universal Standards from 2021.",sustainability reporting,g,neutral,outcome,1,,,,,,
229,"Additionally, our report aligns with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the most recent GRI Universal Standards from 2021.",sustainability reporting standards,g,neutral,outcome,1,,,,,,
230,"Additionally, our report aligns with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards.",gri alignment,g,neutral,outcome,1,,,,,,
236,"Advancing positive performance growth in the last few years, the Company closed 2017 with a satisfying achievement and has been ready to approach digital era.",performance growth,none,positive,outcome,3,,,,,,
237,"Advancing positive performance growth in the last few years, the Company closed 2017 with a satisfying achievement and has been ready to approach digital era.",performance growth and digital readiness,none,positive,outcome,2,,,,,,
238,"After experiencing multiple challenges in the last few years, Indonesian economy has started to show a positive sign of recovery as we can observe from the significant improvement in the industrial sector in 2017.",economic recovery,none,positive,outcome,1,,,,,,
239,"After experiencing multiple challenges in the last few years, Indonesian economy has started to show a positive sign of recovery as we can observe from the significant improvement in the industrial sector in 2017.",economic recovery and industrial improvement,none,positive,outcome,1,,,,,,
240,"After experiencing multiple challenges in the last few years, Indonesian economy has started to show a positive sign of recovery as we can observe from the significant improvement in the industrial sector in 2017.",indonesian economy,none,positive,outcome,1,,,,,,
241,"After successfully overcoming the implementation phase of the Analog Switch Off (ASO) policy imposed by the government since the end of 2022, the media industry was faced with various external challenges stemming from global macroeconomic turmoil that triggered an increase in inflation and interest rates, especially in the first half of the year.",external economic challenges,none,negative,outcome,1,,,,,,
243,"Agribusinesses also face complex sustainability issues, from forest protection, land and human rights issues, to supply chain traceability.",agribusiness sustainability issues,e-s,neutral,none,1,,,,,,
244,"Agribusinesses also face complex sustainability issues, from forest protection, land and human rights issues, to supply chain traceability.",sustainability issues in agribusiness,e-s,neutral,none,1,,,,,,
245,"Agricultural supply shocks and extreme weather events threaten business continuity, making climate change mitigation not only a moral imperative but a strategic business proposition.",climate change,e,negative,none,1,,,,,,
246,"Aligned with this theme, companies and business units are always striving to create and develop various innovative programs in order to contribute towards the achievement of the SDGs, which include increasing profits, sound environmental management, and increasing contributions to community empowerment",contribution to sustainable development goals,e-s,positive,commitment,3,,,,,,
247,"Aligned with this theme, companies and business units are always striving to create and develop various innovative programs in order to contribute towards the achievement of the SDGs, which include increasing profits, sound environmental management, and increasing contributions to community empowerment",contribution towards the achievement of the sdgs,e-s,positive,commitment,1,,,,,,
248,"Aligned with this theme, companies and business units are always striving to create and develop various innovative programs in order to contribute towards the achievement of the SDGs, which include increasing profits, sound environmental management, and increasing contributions to community empowerment.",sdg contribution,e-s,positive,commitment,1,,,,,,
249,"Aligned with this theme, companies and business units are always striving to create and develop various innovative programs in order to contribute towards the achievement of the SDGs, which include increasing profits, sound environmental management, and increasing contributions to community empowerment.",sdgs contribution,e-s,positive,commitment,2,,,,,,
250,All financial information for 2024 presented in this report is sourced from the Indofood 2024 Annual Report.,financial reporting,none,neutral,outcome,1,,,,,,
254,"All of the Company's efforts in running its business are carried out on the principle of sustainability by taking into account the harmony between economic, social, and environmental aspects.",sustainability integration,e-s-g,positive,commitment,1,,,,,,
255,"All of the Company's efforts in running its business are carried out on the principle of sustainability by taking into account the harmony between economic, social, and environmental aspects.",sustainability principle,e-s-g,positive,commitment,3,,,,,,
256,"All of the Company's efforts in running its business are carried out on the principle of sustainability by taking into account the harmony between economic, social, and environmental aspects.",triple bottom line approach,e-s-g,positive,commitment,1,,,,,,
257,"All products have obtained necessary licenses (SNI for kids' products, BPOM for food/cosmetics).",product safety compliance,s,positive,outcome,1,,,,,,
258,All products have obtained the necessary licenses such as Indonesian National Standards (SNI) for all kids' products and distribution licenses from Indonesian Food and Drug Authority (BPOM)...,regulatory compliance,g,positive,outcome,1,,,,,,
260,All the icons depicted on the cover of this report represent our efforts and initiatives towards sustainable operations.,sustainability reporting,e-s-g,positive,action,1,,,,,,
261,All the icons depicted on the cover of this report represent our efforts and initiatives towards sustainable operations.,sustainable operations,e-s-g,positive,action,1,,,,,,
262,"All the results of sustainability performance in the economic, social, environmental, and governance aspects are collective responsibility and are under the supervision of the President Director.",collective esg responsibility,e-s-g,positive,outcome,1,,,,,,
263,All this led to a stronger gross margin.,gross margin,none,positive,outcome,1,,,,,,
264,All this led to a stronger gross margin.,gross margin improvement,none,positive,outcome,1,,,,,,
265,Almost 100% of shopping bags were either paper or spun bonded bags.,plastic reduction,e,positive,outcome,1,,,,,,
266,"Alongside our stakeholders, we work to keep on delivering value to them.",community engagement,s,positive,action,1,,,,,,
267,"Also, we are still committed to KPMG International's Impact Plan.",corporate commitment,e-s-g,positive,commitment,1,,,,,,
268,"Also, we are still committed to KPMG International's Impact Plan.",global sustainability plan,e-s-g,positive,commitment,1,,,,,,
269,"Although managed independently, KPMG is structured such that global activities support a consistent level of quality and set of values, regardless of where the subsidiary operates.",quality and values,g,positive,action,1,,,,,,
270,"Although the operational activities are not directly related to climate change, the Company has a significant role in providing education related to environmental preservation to the public.",environmental education,e,positive,action,1,,,,,,
271,"Amid a political year and ongoing global economic uncertainty, the Company continues to pursue business development in a cautious and selective manner, grounded in resilience and a sustainability-oriented approach.",business development,none,neutral,action,1,,,,,,
272,"Amid a political year and ongoing global economic uncertainty, the Company continues to pursue business development in a cautious and selective manner, grounded in resilience and a sustainability-oriented approach.",business resilience and sustainability,e-s-g,positive,commitment,1,,,,,,
273,"Amid a political year and ongoing global economic uncertainty, the Company continues to pursue business development in a cautious and selective manner, grounded in resilience and a sustainability-oriented approach.",sustainability-oriented approach,e-s-g,positive,commitment,1,,,,,,
274,"Amidst the dynamic condition of 2017, the Company realizes that Human Capital has become a very important aspect for business sustainability.",human capital,s,positive,commitment,1,,,,,,
275,"Amidst the dynamic condition of 2017, the Company realizes that Human Capital has become a very important aspect for business sustainability.",importance of human capital,s,positive,commitment,1,,,,,,
276,"Amidst the rapid digitalization, the Company also observes the importance of Big Data Management as a pivotal key to expand and diversify business.",big data management,none,neutral,action,2,,,,,,
277,Annual Public Expose,transparency,g,neutral,action,1,,,,,,
278,"Another strategy undertook by Erajaya Group is to develop electronic-based selling (""e-commerce"") through www.erafone.com in early 2012.",e-commerce development,none,positive,action,1,,,,,,
279,Another strategy undertook by Erajaya Group is to develop electronic-based selling (e-commerce) through www.erafone.com in early 2012.,e-commerce,none,positive,action,1,,,,,,
281,Aquaculture operation received Runner Up for Asian Feed Miller Sustainability Award 2019.,sustainable aquaculture,e,positive,outcome,1,,,,,,
282,"Arising challenges, such as cyber crime due to digitization acceleration and issues caused by climate change, compel BNI into becoming an agent of change that must be perpetually ready to adapt and evolve in facing all occurring changes.",climate change risk,e,negative,none,1,,,,,,
283,"Arising challenges, such as cyber crime due to digitization acceleration and issues caused by climate change, compel BNI into becoming an agent of change that must be perpetually ready to adapt and evolve in facing all occurring changes.",risk management,g,neutral,action,2,,,,,,
284,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification,sustainable palm oil certification,e,positive,outcome,1,,,,,,
285,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,certification,e,positive,outcome,1,,,,,,
286,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,ispo certification,e,positive,outcome,2,,,,,,
287,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,ispo certification achievement,e,positive,outcome,2,,,,,,
288,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,ispo certification and 100% target,e,positive,commitment,1,,,,,,
289,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,ispo certification progress,e,positive,outcome,1,,,,,,
290,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,sustainable agriculture,e,positive,action,1,,,,,,
291,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,sustainable certification progress,e,positive,outcome,1,,,,,,
292,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,sustainable palm oil certification,e,positive,outcome,2,,,,,,
293,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification.,sustainable certification,e,positive,outcome,1,,,,,,
294,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification... on track to achieve 100% ISPO certification by end of 2024.,sustainable certification,e,positive,commitment,1,,,,,,
295,"As a Company engaged in service industry, the Company does not produce environmentally friendly products. However, the entire process of operational activities must be efficient to reduce the emissions from energy consumption in the multimedia process.",environmental efficiency,e,positive,action,1,,,,,,
296,"As a UNGC signatory, KPMG Norway is committed to developing its business in accordance with the Ten Principles for Corporate Sustainability.",un global compact principles,e-s-g,positive,commitment,1,,,,,,
297,"As a company committed to fostering sustainable economic growth, BRMS steadfastly continues to support initiatives targeting the achievement of sustainable development goals.",sdgs support,e-s-g,positive,commitment,1,,,,,,
298,"As a company committed to fostering sustainable economic growth, BRMS steadfastly continues to support initiatives targeting the achievement of sustainable development goals.",sustainable economic growth,none,positive,commitment,1,,,,,,
299,"As a company in the banking industry, BNI responded to the challenge by implementing sustainable finance.",sustainable finance,e-s-g,positive,action,1,,,,,,
300,"As a food products producer, providing safe and nutritious products to meet increasingly diverse consumer demands in terms of choice, convenience, and nutritional content is our top priority.",food safety,s,positive,commitment,1,,,,,,
301,"As a food products producer, providing safe and nutritious products to meet increasingly diverse consumer demands in terms of choice, convenience, and nutritional content is our top priority.",product safety,s,positive,commitment,1,,,,,,
302,"As a food products producer, providing safe and nutritious products to meet increasingly diverse consumer demands in terms of choice, convenience, and nutritional content is our top priority.",product safety and nutrition,s,positive,commitment,3,,,,,,
